,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,1484,1506,1510,1585,1589,1615,CSA-3-S-055,CSA-3-S-090,CSA-3-S-30,CSA-3-S-31
ENSG00000139343,158.0894007,-1.288581479,0.281062753,-4.584675368,4.55E-06,0.000270546,SNRPF,110.710139,67.53820852,68.37910797,118.146213,101.3517878,154.0591545,260.1359984,196.3130058,208.4310281,295.8293634
ENSG00000131236,3624.169227,-1.288260401,0.290159966,-4.439828205,9.00E-06,0.000441417,CAP1,2324.912918,1806.360899,1323.135739,3258.613926,2007.041186,3578.117801,5201.563809,3913.105121,5941.326457,6887.51441
ENSG00000168610,7892.704467,-1.287326562,0.306195658,-4.204261329,2.62E-05,0.000911141,STAT3,4411.077015,4661.281103,3107.830457,6559.639312,4214.717544,7516.02009,19203.81748,7674.421836,9941.117886,11637.12194
ENSG00000179085,138.1534399,-1.286916427,0.462818813,-2.780605264,0.005425767,0.03344239,DPM3,61.61259908,59.52520073,13.67582159,179.7438112,124.7936979,93.93850882,198.8595188,199.3487739,203.2202524,246.8162145
ENSG00000130204,397.5717239,-1.286871947,0.410217616,-3.137047015,0.001706588,0.01526812,TOMM40,182.9124035,233.5219413,280.3543427,234.2728326,211.6666589,432.1171406,1282.181432,224.6468417,476.2648993,417.778746
ENSG00000172809,1077.820346,-1.286651622,0.337885509,-3.807951476,0.000140123,0.00283575,RPL38,673.8878024,366.3089276,377.7945715,995.6595385,880.4505649,873.628132,1166.565433,1713.185149,1525.715126,2205.008214
ENSG00000059758,1990.988666,-1.285928465,0.301896266,-4.259504373,2.05E-05,0.000771491,CDK17,1256.319403,1215.687753,711.1427229,1393.519435,1227.252941,1245.624627,2723.912944,3099.519262,3424.521792,3612.385777
ENSG00000123179,221.5016698,-1.285814946,0.35489332,-3.623102701,0.00029109,0.004680366,EBPL,133.8148636,88.1430857,71.79806337,161.5674707,213.0455948,246.1188931,394.2505576,159.8837882,344.9533515,401.4410297
ENSG00000254087,664.6132824,-1.285120485,0.407150058,-3.156380455,0.001597404,0.014580098,LYN,423.5866187,368.5983584,150.4340375,625.0641524,398.5124718,653.8120214,689.0713558,532.2713457,1189.099015,1615.683446
ENSG00000134056,127.7871817,-1.283899191,0.40389939,-3.178759918,0.001479065,0.013851299,MRPS36,90.4935049,44.64390055,23.93268779,152.4793005,93.76764043,81.72650267,151.4569591,198.3368512,205.3045627,235.729907
ENSG00000113407,921.6530549,-1.283232543,0.271397182,-4.728245639,2.26E-06,0.000165466,TARS1,553.5506949,495.6617676,326.5102406,751.288739,590.1845604,754.3262258,1394.328952,1208.235716,1541.347453,1601.0962
ENSG00000148248,3571.642321,-1.283076255,0.262753471,-4.883194305,1.04E-06,9.40E-05,SURF4,2049.581616,2026.146256,1456.475,2950.625934,1933.957584,3152.576356,7192.471317,4324.957664,5137.824843,5491.806644
ENSG00000148229,473.0841583,-1.281960177,0.337279292,-3.800886115,0.00014418,0.002894271,POLE3,310.951086,257.5609647,92.31179576,404.9284736,364.7285426,524.1768792,824.342075,500.9017416,669.0636003,781.8764241
ENSG00000132002,1690.750185,-1.281163409,0.321777086,-3.981524674,6.85E-05,0.001750812,DNAJB1,1015.645188,1017.651989,610.2835386,1079.472664,1168.648166,948.7789391,1940.036468,3708.696734,2708.56121,2709.72695
ENSG00000156471,788.2519485,-1.281117986,0.314171238,-4.077769795,4.55E-05,0.001335303,PTDSS1,660.4100464,354.8617736,174.3667253,665.4560201,566.0531823,730.8415986,1356.175672,822.6931635,1339.169356,1212.491947
ENSG00000173276,1346.523279,-1.280592567,0.4130818,-3.100094384,0.00193459,0.016629217,ZBTB21,559.326876,911.1934573,447.8831572,1110.776361,854.940251,453.7229976,2695.008944,2293.016862,1679.954087,2459.409797
ENSG00000170542,579.8375506,-1.280055388,0.280868275,-4.557493681,5.18E-06,0.000295263,SERPINB9,311.9137828,249.5479569,300.8680751,429.1635942,408.854491,588.0550652,648.6057561,808.5262456,822.2604059,1230.580133
ENSG00000184076,163.9806636,-1.279695245,0.417204586,-3.067308675,0.002159957,0.017925477,UQCR10,89.53080804,38.92032355,71.79806337,187.8221847,110.3148711,144.6653036,208.1087987,163.9314791,235.5270618,389.1877424
ENSG00000198858,446.9959593,-1.279417632,0.282843827,-4.523406602,6.09E-06,0.000334625,R3HDM4,259.9281524,249.5479569,273.5164319,327.1741283,193.7404924,504.4497923,964.2374342,427.0313838,588.8176544,681.5161666
ENSG00000163938,1039.331629,-1.279297158,0.267053212,-4.790420414,1.66E-06,0.000133253,GNL3,462.0944931,608.9885921,449.5926349,785.6218265,724.6308095,838.8708837,1706.49215,1457.168703,1645.562967,1714.293234
ENSG00000118680,2035.407927,-1.278135108,0.369635502,-3.457825617,0.000544554,0.007009131,MYL12B,1315.043912,913.4828881,341.8955398,2179.141262,1637.486368,1654.25714,2562.050545,3026.660827,3152.5193,3571.541486
ENSG00000131459,4154.322469,-1.27807964,0.488129535,-2.618320649,0.008836373,0.046720872,GFPT2,1968.71508,4465.53477,1030.815053,2533.579901,2061.509154,1735.983643,11323.43097,2959.873928,5838.153098,7625.629094
ENSG00000150779,284.1897262,-1.277174459,0.316131332,-4.040012272,5.34E-05,0.001490456,TIMM8B,124.187895,80.13007791,158.981426,290.8214473,183.3984732,236.7250422,462.4639972,374.4114028,554.4265348,376.3509653
ENSG00000143549,3627.244484,-1.276954797,0.258494922,-4.939960852,7.81E-07,7.64E-05,TPM3,2212.277386,1616.338143,1707.768222,3142.487306,2051.167134,3486.997447,5702.181086,4479.781839,5251.419753,6622.02652
ENSG00000203668,425.7386877,-1.276490298,0.414112099,-3.082475253,0.002052868,0.017284518,CHML,318.6526609,183.1544638,107.6970951,336.2622985,324.7394018,388.9054265,364.1903978,443.2221471,620.0823087,1170.480677
ENSG00000179431,89.53743968,-1.276179505,0.481447257,-2.650715082,0.008032157,0.043653344,FJX1,26.9555121,54.94633914,85.47388496,49.48003792,46.88382022,77.02957723,304.0700782,82.97766225,62.52930844,105.0281764
ENSG00000069509,89.83483126,-1.275601727,0.381197786,-3.346298888,0.000818981,0.00919541,FUNDC1,42.35866187,21.74959257,47.86537558,94.92088906,64.12051882,69.51449652,108.6790393,136.6095659,147.98603,164.544143
ENSG00000116459,1063.222818,-1.274573103,0.315891212,-4.034848244,5.46E-05,0.001509497,ATP5PB,619.0140814,476.2016058,283.7732981,1041.10039,829.429937,891.4764487,1444.043831,1338.773746,1887.34296,1821.07188
ENSG00000143314,252.8579851,-1.274211004,0.302810883,-4.20794322,2.58E-05,0.000904853,MRPL24,149.2180134,101.8796705,97.44022886,228.2140524,181.3300694,350.3906379,456.6831972,236.7899142,319.9416282,406.6924385
ENSG00000142669,1637.346712,-1.273976526,0.378339212,-3.367286513,0.000759118,0.00874306,SH3BGRL3,1267.871765,1201.951169,413.6936032,956.2774675,956.2920388,1313.260353,4232.701734,1771.876666,1577.822883,2681.719437
ENSG00000101187,444.6796458,-1.272825728,0.412331089,-3.086902152,0.002022542,0.017118673,SLCO4A1,147.2926197,361.730066,430.7883802,201.9593384,208.9087871,449.0260721,1253.277432,331.910649,589.8598096,472.0433038
ENSG00000196154,4307.2395,-1.272707652,0.376888272,-3.376883143,0.000733122,0.008526868,S100A4,2414.443726,2248.221043,960.726467,4197.724849,3067.442884,2153.070622,8444.592589,8469.793086,4269.709611,6846.670119
ENSG00000188706,756.1492284,-1.27215864,0.252787421,-5.032523518,4.84E-07,5.19E-05,ZDHHC9,534.2967577,437.2812823,335.057629,493.7905825,420.575446,856.7192004,1566.596791,909.7185166,835.8084228,1171.647656
ENSG00000254999,1025.882565,-1.271927129,0.321635659,-3.954558806,7.67E-05,0.00188623,BRK1,731.6496141,323.9544578,317.9628521,1040.090593,801.1617513,726.1446732,1521.506551,1614.016723,1378.771251,1803.567184
ENSG00000084207,1864.457853,-1.271642242,0.264937707,-4.799778246,1.59E-06,0.000127975,GSTP1,1132.131508,866.5495568,757.2986208,1594.468977,1207.947838,1608.227271,2557.425905,2676.535569,2834.661982,3409.331303
ENSG00000140564,1116.759133,-1.269449956,0.370525595,-3.426078988,0.000612362,0.00758393,FURIN,654.6338652,833.3528102,509.4243544,597.7996418,671.5417778,1176.11013,3140.130541,718.4651244,1193.267636,1672.865454
ENSG00000204628,6440.501403,-1.26914983,0.317790828,-3.993664123,6.51E-05,0.001704252,RACK1,4381.233413,2660.318586,2364.207658,5342.834298,4727.681694,5438.100275,9751.053381,7286.855437,8510.238878,13942.49041
ENSG00000137267,403.5833201,-1.268487259,0.309127173,-4.103447935,4.07E-05,0.001248334,TUBB2A,289.7717551,365.1642122,148.7245598,224.1748657,157.1986913,494.1165564,720.2876756,439.1744563,536.7098974,660.5105314
ENSG00000165916,714.9127929,-1.267646111,0.295345125,-4.292084082,1.77E-05,0.000703531,PSMC3,400.481894,455.5967287,181.2046361,622.0347624,467.4592663,748.6899153,1135.349113,985.6127199,1021.312038,1131.386855
ENSG00000148840,847.4674077,-1.267487196,0.37742295,-3.358267419,0.000784327,0.008925815,PPRC1,454.3929182,628.4487539,618.8309271,410.9872537,369.5548182,983.5361873,2493.837105,1080.733455,671.1479105,763.2047483
ENSG00000082153,3420.189,-1.267487018,0.336829886,-3.76298859,0.000167895,0.003189297,BZW1,1807.944704,1831.544638,750.46071,3463.602654,2407.622062,2103.283212,5951.911644,5224.556954,5504.663453,5156.29997
ENSG00000057608,3931.177229,-1.266981749,0.301863906,-4.197195244,2.70E-05,0.000931289,GDI2,2320.099434,1731.954398,1213.729166,3831.16865,2866.807713,2942.154096,5316.023648,5375.333438,7013.704096,6700.797652
ENSG00000007312,100.0904595,-1.265882915,0.462368678,-2.737821513,0.006184763,0.036390262,CD79B,38.50787443,44.64390055,78.63597416,92.90129568,39.29967283,61.06003073,238.1689586,164.9434018,58.36068787,184.3827985
ENSG00000063177,4309.043129,-1.265737369,0.300852053,-4.207175446,2.59E-05,0.000905798,RPL18,2483.7579,1520.182049,1854.783304,3996.775308,3220.504768,3415.604181,6243.263962,6128.203934,6015.319472,8212.036412
ENSG00000232803,93.02576203,-1.263713769,0.448705869,-2.816352217,0.004857238,0.031058403,SLCO4A1-AS1,15.40314977,85.8536549,82.05492956,56.54861476,44.12594844,105.2111299,230.0758386,94.10881207,128.1850823,88.69046004
ENSG00000068697,4194.946161,-1.26326098,0.420590348,-3.003542488,0.002668563,0.020603434,LAPTM4A,3562.941081,1407.99994,654.7299588,4585.486779,3721.058496,2226.342659,4632.733092,6248.622737,6886.561169,8022.985695
ENSG00000197728,1141.866115,-1.263100597,0.47317964,-2.669389151,0.007598935,0.042022687,RPS26,375.4517756,248.4032415,593.1887616,1284.461392,900.4451353,1371.502229,2090.337267,704.2982064,1031.733589,2818.839556
ENSG00000135074,681.9237023,-1.262639558,0.413339093,-3.054730558,0.002252628,0.018403963,ADAM19,439.9524653,330.8227502,531.6475645,405.9382702,270.2714342,1483.289054,1335.364792,212.5037692,847.2721293,962.1747935
ENSG00000168906,4225.803164,-1.262485691,0.261947291,-4.819617285,1.44E-06,0.000119285,MAT2A,2724.432116,2242.497466,2053.082717,3013.233329,2425.548228,4089.143289,5051.263009,6157.549693,5486.946815,9014.334982
ENSG00000196531,2106.900787,-1.261546698,0.313373204,-4.025700609,5.68E-05,0.001549749,NACA,903.9723521,836.7869564,1012.010798,1893.368798,1665.065086,1612.924196,3046.481582,3201.723456,2865.926637,4030.748013
ENSG00000090520,534.2058452,-1.261400491,0.225549533,-5.592565297,2.24E-08,5.40E-06,DNAJB11,357.1605353,271.2975495,253.0026995,393.8207099,306.8132352,685.7511144,839.3721549,547.4501863,935.8553163,751.5349509
ENSG00000249859,957.6195106,-1.261397932,0.280518822,-4.496660589,6.90E-06,0.000365498,PVT1,639.2307155,674.2373698,482.0727112,555.3881807,467.4592663,1499.258601,2107.679667,927.9331254,1068.209019,1154.72645
ENSG00000227751,179.4992867,-1.261358017,0.399558751,-3.156877467,0.001594683,0.014564189,RCC2-AS1,91.45620176,91.57723189,140.1771713,147.4303171,59.29424321,185.9982475,289.0399983,93.09688936,343.9111964,353.0113706
ENSG00000179958,187.85325,-1.261234054,0.305846495,-4.123748591,3.73E-05,0.001167211,DCTPP1,125.1505919,89.28780109,73.50754107,158.5380807,113.7622108,148.4228439,401.1875176,206.4322329,255.3280094,306.9156709
ENSG00000187514,7087.868378,-1.260280468,0.295949538,-4.258430256,2.06E-05,0.000773885,PTMA,3774.734391,4361.365669,2446.262588,5274.168123,5121.367891,6093.791067,15054.35927,9978.569847,7417.018136,11357.0468
ENSG00000284922,53.87930978,-1.259933136,0.350858476,-3.591000994,0.00032941,0.00508794,LRTOMT,31.7689964,21.74959257,27.35164319,50.48983461,26.88924983,85.48404302,65.9011196,79.94189412,50.02344675,99.19327768
ENSG00000137876,1215.418886,-1.259305154,0.378645422,-3.325816394,0.0008816,0.009686874,RSL24D1,624.7902626,394.9268125,319.6723298,1229.932371,1280.341973,565.5098231,1546.942071,2334.505693,1825.855806,2031.711723
ENSG00000143761,3547.324784,-1.259227516,0.253694986,-4.963549088,6.92E-07,6.97E-05,ARF1,2275.815379,1826.965776,1492.374031,2694.137575,2269.039005,3360.18046,7009.798038,4166.085799,4493.772966,5885.078816
ENSG00000082212,1058.018036,-1.257481442,0.341877173,-3.678167312,0.000234916,0.004020001,ME2,821.1804221,476.2016058,406.8556924,913.8660064,577.7741374,1084.050392,1181.595513,832.8123906,2425.095012,1860.749191
ENSG00000175334,463.2039214,-1.25670227,0.281953738,-4.457122217,8.31E-06,0.000419941,BANF1,237.7861246,233.5219413,211.9752347,450.3693247,244.0716523,569.2673634,796.5942352,483.6990556,635.7146358,769.039647
ENSG00000110876,210.1469332,-1.256421577,0.463508303,-2.710677608,0.006714588,0.038537963,SELPLG,152.106104,80.13007791,92.31179576,188.8319814,97.21498015,236.7250422,134.1145592,114.3472663,421.0306768,584.6568484
ENSG00000113810,882.0888672,-1.256044826,0.390001923,-3.220611875,0.001279173,0.012550979,SMC4,526.5951828,460.1755903,423.9504694,652.3286631,551.5743555,562.6916678,786.1887952,739.7155013,2396.956823,1720.711623
ENSG00000188643,509.7113008,-1.255972881,0.323436232,-3.883216401,0.000103084,0.002291693,S100A16,257.0400618,241.5349491,198.2994131,477.6338354,358.5233311,524.1768792,986.204474,400.7213933,799.3329928,853.6456779
ENSG00000163041,1874.404743,-1.255816675,0.296650771,-4.233316736,2.30E-05,0.000839662,H3-3A,1082.071271,803.5902099,663.2773473,1977.181923,1189.332204,1675.862997,2683.447344,2345.636843,3080.610596,3243.03669
ENSG00000183617,165.1220143,-1.255267015,0.303650563,-4.133919604,3.57E-05,0.001132171,MRPL54,79.90383943,70.97235472,99.14970655,112.0874328,124.10423,116.4837509,329.505598,244.8852959,211.5574935,262.5704409
ENSG00000197747,2978.503836,-1.254940237,0.358944029,-3.496200337,0.000471934,0.006391297,S100A10,2016.849923,2027.290971,866.7051935,2237.70947,1590.602548,1717.195941,7304.618836,3642.921757,3635.03713,4746.106592
ENSG00000168280,61.44061606,-1.254115412,0.303753986,-4.128720838,3.65E-05,0.001147078,KIF5C,46.20944931,22.89430797,34.18955398,45.44085115,34.47339722,67.63572635,95.96127942,124.4664934,66.697929,76.4371728
ENSG00000153989,902.0582214,-1.254036109,0.26034466,-4.816830534,1.46E-06,0.00011945,NUS1,513.1174267,414.3869743,336.7671067,792.6904033,662.5786945,792.8410144,1476.416311,1094.900373,1518.42004,1418.463871
ENSG00000116574,815.4857333,-1.252705025,0.396232914,-3.16153702,0.001569389,0.014417096,RHOU,327.3169326,233.5219413,258.1311326,897.7092593,884.5873726,776.8714679,855.5583948,1286.153765,1081.757036,1553.25003
ENSG00000107937,600.9528776,-1.250221685,0.267226066,-4.678516965,2.89E-06,0.000195582,GTPBP4,353.3097479,314.7967346,326.5102406,429.1635942,352.3181196,594.6307608,1338.833272,595.0105537,823.3025611,881.6531916
ENSG00000159212,320.7491019,-1.249356681,0.461739859,-2.705758789,0.006814853,0.038940149,CLIC6,208.9052188,170.5625944,61.54119717,301.929211,248.8979279,211.3616448,783.8764753,166.9672472,416.8620562,636.5874468
ENSG00000172893,211.6943623,-1.248766931,0.269772058,-4.628970613,3.67E-06,0.00023108,DHCR7,115.5236233,107.6032475,176.076203,97.95027914,128.2410376,256.4521291,317.9439981,215.5395373,251.1593889,450.4541786
ENSG00000224729,1114.891981,-1.248056102,0.314598272,-3.967142266,7.27E-05,0.001823689,PCOLCE-AS1,692.1790428,631.8829001,400.0177816,1089.570631,530.8903171,1158.261814,2000.156788,1080.733455,1558.021935,2007.205148
ENSG00000152234,2596.069993,-1.247834102,0.290421448,-4.296632056,1.73E-05,0.000692953,ATP5F1A,1907.102481,1188.214584,863.2862381,2155.915938,1812.611226,2891.427301,3280.0259,2797.966294,4207.180303,4856.969667
ENSG00000119705,287.9933547,-1.2472893,0.340968578,-3.658076959,0.000254115,0.004250932,SLIRP,177.1362224,144.2341402,52.99380868,272.6451069,244.0716523,205.7253343,456.6831972,445.2459926,432.4943833,448.703709
ENSG00000213186,242.5344728,-1.24723635,0.431609023,-2.889736508,0.003855649,0.026624249,TRIM59,136.7029542,137.3658478,63.25067487,240.3316127,157.8881593,164.3923904,187.2979189,231.7303007,647.1783423,459.2065267
ENSG00000072682,919.3402224,-1.24679871,0.340822259,-3.658207982,0.000253985,0.004250932,P4HA2,711.43298,606.6991613,225.6510563,762.3965026,456.4277792,815.3862565,1338.833272,962.3384976,1734.146154,1580.090564
ENSG00000104419,8129.751335,-1.246669843,0.348979499,-3.572329742,0.00035382,0.005289548,NDRG1,5067.636274,6080.728198,3560.842047,4364.341303,4839.375501,4169.930406,17608.31669,11215.1394,9736.855479,14654.34805
ENSG00000180817,1035.473553,-1.246365142,0.248289366,-5.019808794,5.17E-07,5.45E-05,PPA1,631.5291406,551.7528221,389.7609154,848.2292214,690.8468802,1010.778355,1566.596791,1284.129919,1643.478657,1737.632829
ENSG00000113272,199.4834293,-1.246229156,0.34407806,-3.621937288,0.000292405,0.004691385,THG1L,104.9339578,97.30080889,66.66963027,164.5968608,168.9196464,142.7865334,455.5270372,206.4322329,257.4123197,330.2552657
ENSG00000179010,2428.096557,-1.246150979,0.296219478,-4.206850235,2.59E-05,0.000906037,MRFAP1,1535.501493,1095.492637,747.0417546,2196.307805,1876.731745,1775.437817,4511.336293,3317.082645,3175.446713,4050.586669
ENSG00000174748,9816.070373,-1.245559739,0.344372988,-3.616891514,0.000298162,0.00475124,RPL15,6085.206856,3807.323416,2461.647887,10294.87728,8435.640299,6054.336893,12261.07673,15762.72006,15907.45607,17090.41825
ENSG00000101843,301.5909455,-1.244877787,0.3823345,-3.255991249,0.001129972,0.011468338,PSMD10,183.8751004,113.3268245,88.89284036,345.3504687,214.4245307,224.5130361,306.3823981,394.649857,518.99326,625.5011393
ENSG00000153551,381.5268048,-1.242560101,0.402029306,-3.090720211,0.001996717,0.016994627,CMTM7,280.1447864,179.7203176,92.31179576,394.8305066,219.9402742,459.3593081,351.4726379,320.7794992,675.3165311,841.3923907
ENSG00000225434,1104.599015,-1.242321534,0.370463581,-3.353424186,0.000798183,0.009043644,LINC01504,517.930911,385.7690893,374.3756161,942.1403138,1194.847948,614.3578477,1178.127033,2722.072091,1413.162371,1703.206927
ENSG00000173674,1434.141837,-1.241443538,0.335177126,-3.703843253,0.000212358,0.003746192,EIF1AX,1187.967926,583.8048533,357.2808391,1158.236806,1246.558043,1344.260061,2152.769907,1632.231332,1930.07132,2748.237282
ENSG00000167721,880.4891132,-1.241144223,0.252613892,-4.913206523,8.96E-07,8.29E-05,TSR1,515.0428204,472.7674596,446.1736795,668.4854102,519.85883,931.8700075,1794.360309,867.2177628,1265.176341,1323.938512
ENSG00000197451,1218.535328,-1.24085847,0.316278773,-3.923306204,8.73E-05,0.00204468,HNRNPAB,670.037015,723.4601319,863.2862381,756.3377224,581.910945,1122.56518,3061.511661,1071.62615,1739.35693,1595.261301
ENSG00000168615,3487.544265,-1.240561273,0.374478586,-3.312769593,0.00092377,0.009970166,ADAM9,2349.943037,1883.056831,1088.937294,2954.665121,2321.438569,2776.822321,3099.664941,3294.820345,7691.104938,7414.989251
ENSG00000145362,17040.54758,-1.240402067,0.373392495,-3.321979104,0.000893814,0.009777832,ANK2,9022.394978,9677.42398,5914.792839,15312.55704,9655.998561,6253.486532,25175.38385,40991.97707,23370.32903,25031.13188
ENSG00000164934,619.8058766,-1.240056659,0.244910432,-5.063306812,4.12E-07,4.58E-05,DCAF13,412.9969532,334.2568964,200.0088908,490.7611924,430.9174652,576.7824441,1136.505273,838.8839269,884.7897144,892.1560092
ENSG00000141030,493.1068661,-1.238980071,0.278153729,-4.454299698,8.42E-06,0.000423823,COPS3,327.3169326,283.8894189,147.0150821,391.8011166,336.4603568,407.6931283,765.3779154,624.3563123,872.2838527,774.8745456
ENSG00000171135,253.666499,-1.237921038,0.345550578,-3.582459754,0.000340374,0.005179454,JAGN1,212.7560062,111.0373937,51.28433098,197.9201517,229.5928255,232.9675019,465.9324772,289.4098952,320.9837833,424.7806244
ENSG00000244038,1668.770066,-1.23734067,0.314522707,-3.934026519,8.35E-05,0.001992132,DDOST,1159.08702,910.0487419,576.0939846,1460.166017,921.8186416,1942.648362,2178.205427,1475.383312,2688.760263,3375.48889
ENSG00000170515,713.1377626,-1.236103195,0.282110515,-4.381627514,1.18E-05,0.000534568,PA2G4,433.2135873,326.2438886,270.0974765,580.633098,555.7111631,604.9639968,1538.848951,775.1327962,957.7405742,1088.792095
ENSG00000167315,454.1517754,-1.235108736,0.345791872,-3.571826973,0.0003545,0.005294405,ACAA2,394.7057129,200.3251948,136.7582159,375.6443695,302.6764276,435.8746809,538.7705567,386.5544754,955.6562639,814.5518567
ENSG00000126756,316.0144876,-1.234492722,0.291372008,-4.236826765,2.27E-05,0.000832021,UXT,153.0688008,155.6812942,123.0823943,280.7234804,244.0716523,256.4521291,411.5929575,506.9732779,488.7707609,539.7281286
ENSG00000143612,1453.693536,-1.234099268,0.304746348,-4.049594931,5.13E-05,0.001453843,C1orf43,928.0397737,591.8178611,535.0665199,1369.284315,1067.296378,1079.353466,2355.097906,1771.876666,2141.628814,2697.473663
ENSG00000163950,397.2239279,-1.233973495,0.317772499,-3.883197881,0.000103092,0.002291693,SLBP,239.7115183,216.3512103,114.5350058,350.3994522,290.9554725,312.8152344,474.0255971,537.3309592,729.5085984,706.606231
ENSG00000131100,918.9092101,-1.23385539,0.30658721,-4.02448423,5.71E-05,0.001553066,ATP6V1E1,591.0958724,434.9918515,235.9079225,835.1018644,758.4147388,691.3874249,1260.214392,1511.812529,1349.590907,1520.574598
ENSG00000100591,451.9655546,-1.233575042,0.281663299,-4.37960873,1.19E-05,0.000534568,AHSA1,210.8306125,240.3902337,270.0974765,337.2720952,284.0607931,346.6330975,857.8707148,524.175964,720.1292022,728.1953561
ENSG00000197045,1290.5453,-1.232066659,0.325816951,-3.781468878,0.000155906,0.003046202,GMFB,875.0914463,420.1105513,478.6537558,1417.754556,861.1454625,943.1426285,1489.134071,1717.23284,2540.774233,2162.413453
ENSG00000126247,1670.001408,-1.23142216,0.298416268,-4.126524902,3.68E-05,0.001156861,CAPNS1,1197.594895,871.1284184,584.6413731,1252.147898,1177.611249,1898.497263,3261.52734,1563.420588,1907.143907,2986.301148
ENSG00000204394,795.1030742,-1.231149039,0.36933917,-3.333383347,0.000857966,0.009511335,VARS1,528.5205765,626.1593231,495.7485328,402.9088802,335.7708889,1258.776018,2086.868787,506.9732779,894.1691106,815.1353466
ENSG00000147403,12907.9685,-1.230643182,0.324987921,-3.786735141,0.00015264,0.002995515,RPL10,8142.490047,4966.920115,4140.354988,13707.9901,9658.066964,9538.516185,16538.8687,20800.07131,17669.74041,23916.66623
ENSG00000149485,1431.896423,-1.23039507,0.255405779,-4.817412805,1.45E-06,0.00011943,FADS1,583.3942975,1062.29589,1037.652963,904.7778362,718.425598,1792.346748,2270.698226,1220.378789,1955.083044,2773.910836
ENSG00000155438,334.6083672,-1.230345491,0.338579563,-3.633844529,0.000279229,0.004543439,NIFK,207.9425219,159.1154404,78.63597416,307.9879911,292.3344084,263.0278247,495.992637,381.4948618,578.396103,581.1559092
ENSG00000225542,72.11294575,-1.229834703,0.323556208,-3.800992442,0.000144118,0.002894271,ZNF385D-AS1,40.43326815,28.61788497,42.73694248,39.38207099,58.60477527,71.3932667,174.5801589,119.4068798,91.70965237,54.26455779
ENSG00000069974,799.5689197,-1.228738103,0.22685933,-5.416299614,6.08E-08,1.14E-05,RAB27A,461.1317962,421.2552667,309.4154636,641.2208995,581.910945,805.9924056,1411.671351,1218.354943,1009.848331,1134.887795
ENSG00000229951,114.9636261,-1.228266025,0.310010918,-3.96200893,7.43E-05,0.001854581,FOSL2-AS1,48.13484303,84.7089395,90.60231806,65.63678499,59.98371116,123.9988316,230.0758386,153.812252,104.2155141,188.4672276
ENSG00000104825,167.4955763,-1.228154747,0.381979091,-3.215240768,0.001303352,0.012705333,NFKBIB,99.15777665,136.2211324,34.18955398,116.1266196,107.5569993,159.695465,443.9654373,211.4918465,179.2506842,187.3002479
ENSG00000095066,1533.737467,-1.227877919,0.429146864,-2.861206782,0.004220317,0.028310628,HOOK2,521.7816985,1726.230821,1160.735358,712.9164647,617.0738102,867.9918215,3840.763497,2460.996032,1697.670724,1731.21444
ENSG00000108588,1293.090921,-1.227569062,0.296686787,-4.137592631,3.51E-05,0.001123779,CCDC47,865.4644777,583.8048533,362.4092722,1171.364163,1041.096596,925.2943118,2254.511986,1663.600936,1983.221233,2080.141382
ENSG00000236552,408.7311595,-1.227348097,0.315981336,-3.884242379,0.000102649,0.002288692,RPL13AP5,241.636912,148.8130018,155.5624706,440.2713578,280.6134533,273.3610607,505.2419169,672.9286024,701.3704096,667.5124098
ENSG00000143222,611.910552,-1.227290694,0.305517345,-4.017090081,5.89E-05,0.001588102,UFC1,283.032877,259.8503955,287.1922535,607.8976087,422.6438499,485.6620906,929.5526344,746.7989603,1018.185572,1078.289277
ENSG00000104331,2480.057847,-1.227108194,0.253791779,-4.835098271,1.33E-06,0.000113023,BPNT2,1799.280433,1132.123529,789.778697,2226.601706,1607.839246,1997.132697,5322.960608,3082.316576,3746.54773,3095.997243
ENSG00000147065,11131.05588,-1.226987234,0.311696758,-3.936477366,8.27E-05,0.001982009,MSN,6770.647021,7438.36066,4513.021126,8228.833244,6394.125716,9765.847377,25931.51248,11898.18723,11648.16801,18721.85593
ENSG00000169021,474.4558439,-1.226767884,0.276917076,-4.430091131,9.42E-06,0.000457313,UQCRFS1,256.0773649,219.7853565,200.0088908,428.1537975,339.9076966,399.2386625,779.2518353,605.1297808,697.2017891,819.8032655
ENSG00000131435,533.4991231,-1.22613022,0.332592377,-3.686585451,0.000227283,0.003939134,PDLIM4,278.2193927,417.8211205,169.2382922,357.468029,328.8762095,410.5112835,1360.800312,738.7035786,680.5273068,592.8257066
ENSG00000144118,855.4666047,-1.226125592,0.250508118,-4.894554329,9.85E-07,8.93E-05,RALB,548.7372106,449.8731517,338.4765844,680.6029705,572.9478617,731.7809837,1496.071031,1123.234209,1202.647032,1410.295013
ENSG00000113140,29156.92702,-1.225615952,0.36749228,-3.335079454,0.00085275,0.009467593,SPARC,17964.88612,14397.08557,10487.64568,30118.19614,10955.64564,14878.92041,84886.42285,36731.78246,40192.79731,30955.888
ENSG00000266751,124.7631908,-1.224908607,0.304877133,-4.017712303,5.88E-05,0.001586785,MIR3661,71.23956769,73.26178551,47.86537558,95.93068575,86.18349304,125.8776018,154.9254391,150.7764838,181.3349945,260.2364814
