,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,1484,1506,1510,1585,1589,1615,CSA-3-S-055,CSA-3-S-090,CSA-3-S-30,CSA-3-S-31
ENSG00000138180,126.3525885,-4.086772187,1.304035241,-3.133943056,0.001724743,0.01539909,CEP55,5.776181164,12.59186939,0,57.55841145,4.82627561,53.54495003,104.0543994,6.071536262,601.3235161,417.778746
ENSG00000105835,14262.69787,-4.05135409,0.504777599,-8.026017997,1.01E-15,4.29E-12,NAMPT,1366.066845,1266.055231,574.3845069,4089.676603,1282.410376,12410.2164,27480.76687,14497.81667,25392.11,54267.47524
ENSG00000115155,39.77480862,-4.00630377,0.756692083,-5.294496746,1.19E-07,1.82E-05,OTOF,0,5.723576993,6.837910797,11.10776361,0.689467944,111.7868255,156.0815991,20.23845421,47.93913647,37.3433516
ENSG00000276903,64.7930129,-3.981833675,1.108101421,-3.593383782,0.000326411,0.005057846,H2AC16,7.701574885,4.578861595,0,28.27430738,6.894679443,41.33294388,32.3724798,10.1192271,294.9299048,221.7261501
ENSG00000286522,453.0112332,-3.967044955,1.152854825,-3.441062023,0.000579436,0.007285103,H3C2,25.03011838,9.157723189,34.18955398,236.292426,26.19978189,116.4837509,245.1059185,42.50075384,2332.343205,1462.809101
ENSG00000165304,79.75914709,-3.941488643,1.26419806,-3.117777798,0.001822201,0.015967025,MELK,5.776181164,10.30243859,0,34.33308753,2.757871777,39.4541737,50.87103969,4.047690842,413.7355908,236.3133968
ENSG00000011426,403.4780811,-3.879951113,1.042291731,-3.722519326,0.000197245,0.003570792,ANLN,45.24675245,25.18373877,30.77059859,130.2637733,50.33115994,42.27232897,351.4726379,35.41729486,1941.535027,1382.287499
ENSG00000196747,115.4758138,-3.877547158,1.310163794,-2.959589614,0.003080491,0.022724433,H2AC13,16.36584663,9.157723189,0,62.60739491,6.894679443,16.90893159,39.30943976,14.16691795,615.9136881,373.433516
ENSG00000196136,388.0136882,-3.856522805,0.592778565,-6.505840519,7.73E-11,6.98E-08,SERPINA3,14.44045291,18.31544638,17.09477699,198.9299484,60.6731791,448.0866871,1309.929272,587.9270947,389.7660226,834.9740021
ENSG00000286710,27.24366105,-3.839603176,0.763212277,-5.030845666,4.88E-07,5.22E-05,LOC116435278,3.850787443,10.30243859,0,0,2.757871777,9.393850882,63.58879962,48.5722901,89.62534209,44.34523002
ENSG00000131747,593.7014257,-3.830962773,1.07286806,-3.570767849,0.000355936,0.005301917,TOP2A,36.5824807,20.60487718,88.89284036,209.0279153,48.95222405,93.93850882,365.3465578,73.87035786,2904.486377,2095.312119
